A2,A3
7,1767
7,1051
5,698
7,1171
5,9
5,882
7,1964
5,397
7,1906
5,890
5,942
7,1650
7,1270
7,1703
7,1312
5,264
5,250
7,1426
7,1947
7,1546
7,1069
7,1764
5,143
5,421
7,1672
7,1462
5,705
5,75
5,958
5,459
7,1725
7,1945
5,474
7,1471
7,1657
7,1353
5,185
5,14
7,1025
7,1499
7,1272
7,1065
5,802
7,1151
5,93
5,167
5,616
5,636
5,934
7,1571
7,1940
5,825
5,458
5,315
7,1135
5,925
7,1949
7,1363
7,1015
7,1693
5,571
7,1775
7,1191
7,1515
5,906
5,961
7,1934
5,192
7,1723
5,842
7,1876
7,1497
5,319
5,903
7,1222
7,1619
5,483
7,1855
5,549
5,931
5,694
5,822
7,1976
5,828
7,1740
7,1566
5,930
7,1264
5,34
7,1327
7,1223
7,1528
5,40
7,1700
7,1601
5,563
5,793
7,1644
7,1309
7,1029
5,154
5,78
5,954
7,1046
7,1021
5,556
5,349
7,1905
5,866
7,1100
5,717
7,1625
7,1218
7,1857
7,1889
5,728
7,1542
5,115
5,217
5,635
5,371
5,138
7,1229
7,1012
5,60
7,1391
7,1602
5,473
5,522
7,1592
5,804
5,301
7,1925
5,36
5,200
5,462
5,243
7,1306
5,646
7,1143
7,1794
7,1712
5,566
7,1734
7,1242
7,1655
7,1609
5,578
5,585
5,202
5,598
5,678
7,1176
7,1731
5,885
7,1049
5,229
5,204
7,1631
7,1432
7,1494
7,1401
5,554
7,1424
5,917
7,1859
7,1961
5,687
5,607
5,272
5,718
5,860
7,1045
7,1415
7,1714
5,724
5,102
7,1929
5,488
7,1128
7,1236
5,834
5,848
7,1260
7,1704
7,1093
7,1167
5,207
5,398
7,1207
5,884
5,560
5,808
5,396
5,147
5,757
7,1881
5,743
7,1474
5,265
7,1429
5,387
5,98
7,1183
7,1316
7,1795
5,964
5,308
5,996
5,862
5,172
5,355
7,1146
7,1446
5,131
7,1195
7,1402
5,927
7,1286
5,141
7,1380
5,768
7,1037
7,1326
5,375
5,989
5,7
7,1854
5,889
5,541
5,990
7,1190
7,1548
7,1112
7,1496
5,579
5,119
7,1580
7,1041
7,1523
7,1136
5,432
7,1056
5,384
7,1505
7,1437
5,121
7,1516
7,1491
5,940
7,1796
5,615
5,994
5,719
5,907
7,1504
5,639
7,1192
7,1280
7,1203
7,1480
7,1565
5,629
5,360
7,1645
5,271
5,503
7,1511
5,400
5,641
5,704
7,1732
7,1469
5,881
5,15
5,128
7,1830
5,771
5,633
5,592
7,1293
7,1919
7,1840
5,13
5,924
5,347
5,241
7,1632
7,1125
7,1798
7,1352
5,63
5,620
7,1331
5,576
7,1913
5,727
5,258
5,660
7,1738
7,1074
5,820
5,41
5,45
5,978
7,1153
5,123
7,1675
5,833
5,18
5,449
5,550
5,756
5,54
5,69
5,385
7,1922
5,523
5,948
5,986
5,706
5,856
5,133
5,340
5,612
7,1234
5,891
7,1132
7,1412
5,525
5,414
7,1621
7,1385
5,399
5,533
5,973
7,1314
5,872
7,1225
7,1158
5,653
5,225
5,338
7,1626
7,1579
5,333
5,640
7,1173
7,1671
5,654
7,1797
7,1030
7,1307
5,212
5,547
5,531
5,104
7,1709
7,1966
7,1453
7,1145
7,1063
5,365
5,244
5,561
7,1324
5,900
5,42
7,1819
5,467
5,310
7,1746
7,1366
5,196
5,972
5,857
7,1635
7,1744
5,748
5,197
5,651
5,220
5,979
5,888
5,776
7,1810
7,1047
5,463
5,789
7,1163
7,1457
5,27
7,1806
5,570
5,146
7,1776
5,279
7,1665
5,291
5,984
7,1790
5,50
7,1259
5,574
7,1920
5,182
7,1375
5,682
5,415
5,575
7,1482
5,957
7,1170
7,1149
7,1256
5,867
5,512
7,1827
5,145
7,1634
7,1361
7,1376
7,1879
7,1991
5,732
7,1500
5,39
7,1559
5,847
7,1206
5,785
7,1263
5,211
5,479
5,493
5,57
7,1283
7,1526
5,339
7,1873
7,1972
5,606
7,1660
5,378
7,1610
7,1204
7,1027
7,1597
5,892
7,1962
5,677
7,1997
7,1269
5,386
5,853
5,810
5,469
5,611
7,1779
5,181
7,1403
7,1572
5,836
5,190
7,1430
5,783
7,1003
5,873
5,322
7,1629
7,1933
7,1518
5,423
7,1475
7,1232
7,1708
5,895
7,1614
7,1077
5,367
5,188
5,858
7,1924
7,1956
7,1379
7,1177
5,520
7,1165
7,1886
7,1456
5,56
5,179
7,1378
7,1042
5,723
7,1587
7,1294
5,637
5,325
5,58
5,155
7,1422
5,569
7,1346
5,354
7,1853
5,71
5,863
7,1686
5,669
5,974
5,284
7,1808
5,555
5,926
5,666
7,1226
5,65
5,524
5,321
7,1948
5,137
7,1598
5,201
7,1215
5,448
5,135
7,1343
5,870
7,1423
7,1392
5,693
7,1164
5,171
7,1848
5,299
7,1298
7,1297
5,971
5,610
5,329
5,568
5,510
7,1425
5,261
5,26
5,791
7,1224
7,1287
5,951
5,424
7,1463
5,114
5,112
5,372
7,1562
7,1531
7,1983
5,6
5,784
5,270
7,1038
5,314
7,1727
7,1202
5,282
7,1212
5,883
7,1535
7,1847
7,1595
5,500
5,658
7,1031
5,312
5,233
7,1161
7,1477
5,89
5,122
5,623
7,1888
5,878
5,362
5,647
5,450
5,897
5,346
7,1329
5,464
7,1817
7,1524
7,1323
7,1393
7,1268
5,894
7,1228
5,373
7,1593
5,937
7,1981
5,944
7,1860
7,1333
7,1127
7,1089
7,1289
5,913
5,675
5,667
5,486
7,1654
5,126
7,1451
5,831
5,16
7,1472
5,281
5,86
7,1532
5,476
7,1114
5,218
7,1273
7,1005
5,625
5,912
7,1230
7,1950
