A3,A4
2969,1614
2997,1427
2424,2226
2723,1380
2797,2149
2851,1324
2181,1171
2768,2247
2358,1947
2153,1771
2509,617
2912,253
2102,2509
2098,2593
2270,660
2026,1489
2606,1929
2606,1054
2957,1006
2002,2464
2904,54
2691,113
2626,783
2706,964
2182,2463
2476,466
2214,1824
2591,1806
2998,1139
2105,1690
2960,1731
2967,230
2823,1172
2056,659
2519,879
2135,34
2398,2123
2306,476
2038,1717
2883,2228
2961,2516
2408,2654
2634,1874
2712,1672
2186,45
2633,2909
2734,2301
2083,1160
2726,1052
2453,693
2862,294
2931,1364
2577,186
2623,1354
2391,1882
2505,2085
2926,133
2951,1415
2294,274
2222,432
2378,1732
2358,2204
2299,357
2764,2191
2968,793
2700,21
2921,2863
2032,1659
2574,2358
2160,644
2711,65
2196,31
2761,1687
2046,996
2455,585
2363,1488
2309,1824
2911,2557
2531,928
2030,2568
2121,758
2355,333
2488,1499
2481,1762
2119,185
2937,1879
2928,710
2023,1117
2027,578
2506,2664
2546,2474
2164,1878
2076,2162
2565,778
2124,1948
2559,2121
2421,139
2485,2371
2142,1115
2032,371
2391,2419
2198,2817
2967,1849
2072,2087
2965,2494
2850,2395
2654,164
2859,835
2430,1707
2757,2279
2983,2729
2870,72
2413,1649
2263,2133
2144,2980
2373,220
2991,2317
2791,1856
2342,2584
2713,2906
2905,915
2656,179
2080,401
2763,1612
2983,731
2230,1870
2300,449
2786,203
2418,1239
2249,26
2239,511
2690,1128
2414,2169
2478,1699
2133,1638
2214,2767
2155,270
2164,2146
2283,164
2861,2253
2055,2325
2526,2026
2687,2999
2254,1100
2269,2551
2205,1411
2181,2305
2720,2260
2162,623
2636,1994
2616,1955
2468,43
2239,1498
2496,2430
2709,2947
2170,2209
2293,700
2136,1874
2642,2318
2775,332
2896,2317
2766,885
2372,456
2041,78
2047,2386
2984,2959
2914,2872
2932,724
2120,720
2782,2959
2664,789
2396,1465
2654,273
2710,2233
2324,2584
2463,1538
2730,1271
2099,2777
2802,2985
2818,2695
2158,2022
2649,362
2439,2299
2282,714
2291,1323
2778,2601
2090,1543
2950,73
2380,2249
2803,2980
2283,1026
2120,387
2090,753
2456,2770
2060,410
2262,2708
2145,1028
2206,1802
2075,2658
2244,2720
2272,1247
2146,1861
2809,165
2362,609
2061,2806
2247,276
2433,1399
2354,2696
2165,2307
2106,527
2704,1624
2829,1877
2191,1849
2090,1463
2017,1322
2015,970
2382,2572
2251,1220
2247,1146
2334,690
2770,944
2158,18
2675,1719
2253,1288
2722,767
2819,561
2963,2071
2976,2814
2848,2672
2400,1603
2274,1155
2281,2556
2832,372
2433,2731
2505,831
2708,665
2291,1846
2871,525
2798,1173
2819,228
2306,2288
2631,530
2810,1647
2640,638
2629,2910
2231,380
2832,717
2756,241
2375,2559
2862,431
2744,1123
2966,1978
2707,2878
2453,1324
2917,1673
2054,365
2013,152
2043,715
2024,382
2900,946
2539,1295
2499,2512
2612,432
2457,907
2016,1499
2480,475
2701,94
2748,2499
2337,2735
2068,2748
2554,2116
2069,1264
2901,1479
2257,2608
2961,2412
2304,615
2568,1929
2740,1418
2855,73
2940,9
2080,2669
2639,1563
2344,1087
2286,2928
2788,1989
2489,1403
2385,2838
2659,676
2113,2812
2536,1108
2661,1187
2526,723
2552,1895
2682,825
2399,2229
2143,255
2687,342
2154,2135
2404,1989
2884,578
2162,2731
2058,2787
2792,2983
2205,566
2263,2383
2322,53
2353,2611
2258,147
2528,975
2013,2565
2533,2737
2483,18
2076,408
2032,2422
2440,1271
2911,2185
2628,497
2951,1106
2765,2321
2438,2646
2614,1784
2364,784
2827,770
2942,2197
2242,2618
2807,1426
2749,463
2524,614
2728,2489
2627,2166
2071,2795
2351,1523
2178,2571
2904,662
2753,150
2780,1789
2701,2492
3000,1827
2818,2026
2902,659
2062,1386
2536,2695
2461,1449
2332,1221
2294,172
2578,2436
2328,973
2979,619
2417,1412
2274,1941
2850,2582
2593,1218
2705,812
2414,2815
2862,2389
2685,2467
2395,965
2688,1198
2529,602
2830,1478
2193,918
2371,1173
2682,90
2902,1075
2227,316
2890,198
2047,138
2683,164
2426,1318
2238,1018
2316,1146
2613,143
2485,1895
2282,1793
2587,2084
2452,2798
2842,1034
2810,2861
2975,1938
2070,1772
2351,375
2232,1278
2454,831
2958,1337
2296,1032
2508,1630
2401,1155
2284,2935
2878,42
2370,2487
2282,2516
2234,768
2643,731
2865,2116
2052,57
2716,44
2950,1601
2627,2054
2132,2438
2574,2942
2041,2279
2073,1448
2168,2404
2509,1958
2839,2785
2533,1666
2369,578
2713,949
2079,1988
2419,40
2849,368
2674,1100
2041,2428
2036,1602
2691,2993
2609,2502
2304,2616
2899,2629
2635,948
2695,138
2064,1619
2205,2869
2702,594
2039,1072
2549,1000
2005,2087
2642,822
2890,159
2871,2885
2546,612
2247,634
2528,2208
2441,2582
2382,2431
2110,1543
2269,510
2343,2017
2700,737
2559,2487
2178,47
2601,406
2448,2081
2427,183
2960,1846
2304,86
2293,524
2750,1684
2745,2803
2351,1602
2304,221
2273,1074
2251,154
2096,299
2995,1587
2116,1708
2679,2479
2300,1965
2883,375
2601,2571
2650,2051
2529,2961
2940,2433
2904,1601
2162,636
2776,2381
2837,1954
2483,1884
2960,988
2867,720
2156,2035
2715,375
2143,1936
2558,121
2681,1446
2885,2741
2304,2968
2255,2381
2892,1865
2111,2622
2569,179
2698,2851
2240,1211
2442,1462
2294,466
2676,562
2474,21
2828,199
2250,2877
2372,1363
2608,1825
2750,914
2325,385
2198,1767
2014,14
2804,2905
2394,366
2065,1814
2270,1613
2196,408
2736,1837
2807,1273
2397,12
2305,223
2508,1962
2161,1503
2721,1606
2599,804
2710,241
2852,406
2731,1914
2088,1139
2468,983
2588,1098
2759,1980
2679,111
2804,1817
2466,2849
2152,1010
2219,2424
2098,2173
2796,1761
2287,1009
2219,2251
2918,918
2971,1159
2631,60
2880,1186
2754,2855
2448,1856
2747,493
2952,2723
2960,1318
2180,2787
2027,87
2932,1928
2766,590
2090,2977
2058,2244
2237,1731
2085,1887
2807,1723
2540,218
2278,460
2417,240
2190,394
2097,361
