A1,A3
2161,1905
2737,2067
2571,508
2206,1705
2432,562
2067,2634
2057,1133
2907,1790
2394,2622
2522,922
2397,1183
2597,1323
2976,2365
2638,454
2109,257
2564,2201
2643,1999
2417,1144
2616,1244
2318,208
2383,1538
2925,15
2302,788
2192,2775
2271,2101
2291,2395
2477,850
2649,389
2487,2482
2542,1318
2035,2522
2154,221
2667,69
2478,1566
2338,2066
2053,822
2907,2184
2591,785
2811,2729
2722,2794
2496,702
2606,371
2968,1234
2822,1955
2037,2686
2039,2993
2882,1104
2221,1186
2978,2447
2252,451
2829,2811
2174,1115
2158,2276
2466,796
2584,1824
2800,247
2909,2742
2013,2178
2782,1299
2389,561
2360,2878
2648,832
2446,134
2006,1193
2155,2827
2021,2508
2907,803
2935,2924
2423,434
2573,1805
2986,2535
2132,2176
2058,2738
2984,1382
2867,2271
2847,2335
2774,317
2261,2000
2620,1577
2397,1487
2098,2152
2963,2471
2915,1695
2740,1934
2068,601
2276,1730
2518,345
2901,814
2863,1740
2350,2028
2084,2348
2740,948
2169,2684
2680,1925
2501,2037
2839,1710
2857,666
2618,1037
2013,1038
2124,352
2948,668
2836,2701
2830,1099
2742,2598
2457,2431
2283,380
2738,859
2674,2977
2172,823
2005,1775
2910,588
2268,929
2420,477
2955,2760
2247,2076
2763,2258
2780,2005
2507,2854
2483,796
2481,1722
2777,995
2231,98
2474,1372
2910,2319
2824,1086
2555,405
2096,1437
2667,870
2621,580
2392,1965
2425,1633
2853,820
2388,26
2949,693
2968,1586
2392,2003
2032,1560
2505,2566
2851,2788
2210,1803
2981,168
2377,2018
2340,1677
2753,2815
2293,528
2482,2133
2979,1462
2515,802
2183,2316
2624,2049
2846,2735
2115,772
2705,2010
2392,114
2622,1543
2494,1771
2304,841
2269,609
2632,951
2296,1312
2552,2697
2113,1906
2040,2824
2540,1775
2178,1745
2049,526
2060,255
2839,375
2494,1078
2768,1971
2666,2798
2621,1693
2728,139
2894,988
2268,1457
2289,2206
2821,1590
2419,1162
2905,1982
2817,1121
2352,1902
2578,501
2335,604
2821,2437
2210,2773
2046,2586
2685,1056
2032,2472
2726,646
2840,1446
2968,963
2485,1265
2746,1276
2624,1477
2262,2626
2613,2555
2668,513
2993,1627
2866,2839
2586,214
2092,2551
2935,1859
2869,1160
2526,1272
2798,271
2803,2779
2077,2135
2137,2514
2913,1392
2961,319
2954,258
2044,1806
2791,1907
2454,1932
2816,12
2091,2024
2784,2883
2505,1685
2834,587
2933,998
2089,2992
2357,1542
2977,1974
2906,731
2235,1278
2327,947
2472,606
2124,2269
2981,62
2536,2134
2859,1593
2635,427
2503,950
2149,1771
2458,2858
2671,123
2745,930
2384,2568
2383,151
2812,1684
2285,1884
2278,1268
2015,490
2450,1834
2731,983
2778,2537
2683,515
2151,1210
2740,2283
2738,261
2008,19
2079,393
2309,1648
2234,1545
2155,1085
2723,1891
2274,2651
2956,2418
2889,2261
2776,361
3000,2104
2357,1002
2603,1869
2879,988
2206,1010
2083,470
2727,1477
2417,1809
2433,2798
2078,2818
2389,1363
2282,100
2770,1010
2669,2231
2778,2745
2955,952
2921,2491
2274,970
2893,298
2977,1145
2999,2732
2765,650
2382,1169
2682,2984
2875,2208
2606,2009
2211,1767
2743,2169
2804,2183
2009,691
2535,2055
2359,2948
2272,2927
2278,1509
2881,2001
2115,418
2738,2768
2178,1186
2136,1023
2349,2080
2898,206
2625,318
2081,1425
2481,116
2781,370
2633,2570
2880,2611
2601,2086
2539,130
2331,1250
2854,1213
2563,2843
2709,1909
2844,2510
2025,300
2716,1249
2094,1825
2826,99
2133,47
2343,1023
2573,393
2103,914
2386,738
2619,625
2794,2765
2138,562
2335,211
2241,139
2083,1422
2101,2523
2774,765
2758,2628
2992,1175
2140,2691
2010,2636
2837,261
2467,709
2235,1470
2106,2257
2263,587
2388,1373
2383,2261
2685,830
2241,1521
2435,2473
2928,2585
2921,1109
2737,1097
2100,2861
2079,2987
2322,67
2262,103
2697,1780
2408,399
2540,2959
2140,2077
2103,638
2425,113
2951,623
2091,1521
2584,439
2311,1174
2022,266
2454,2755
2511,316
2245,1581
2878,1899
2482,1049
2438,631
2156,1516
2687,2369
2914,1639
2054,2520
2628,2918
2681,231
2288,1701
2339,2064
2526,1549
2361,408
2652,843
2901,1673
2251,582
2623,2699
2208,1255
2196,2537
2071,1446
2452,2980
2136,107
2149,2159
2724,1362
2042,2049
2085,2261
2059,892
2861,1316
2373,744
2418,2990
2268,857
2143,1929
2012,630
2442,88
2371,2355
2149,1266
2044,482
2325,2527
2271,2034
2940,2141
2783,2629
2392,1936
2888,2197
2853,67
2389,224
2222,2078
2494,2870
2273,2475
2415,2786
2959,403
2149,1937
2858,2144
2926,1159
2907,1310
2287,1325
2046,1306
2121,29
2945,1425
2994,1633
2033,1050
2542,2328
2267,799
2931,772
2912,1753
2026,1671
2426,2383
2137,2324
2423,1961
2965,813
2335,997
2489,2197
2261,623
2897,2129
2235,1676
2519,2143
2698,1247
2104,2325
2991,722
2089,156
2804,23
2419,62
2449,2603
2205,1241
2354,394
2054,2021
2651,1903
2007,580
2855,2946
2232,1474
2780,1087
2116,867
2498,1844
2543,2175
2835,1132
2965,1830
2609,1873
2512,158
2758,568
2961,2118
2490,2077
2705,1698
2948,791
2018,1020
2516,1591
2087,2561
2606,2206
2735,2778
2721,2780
2634,651
2125,1963
2736,745
2913,1568
2525,1248
2969,1204
2755,2927
2680,450
2221,2713
2316,2928
2305,1960
2756,2206
2482,197
2961,2066
2124,652
2210,2761
2578,1425
2164,2428
2160,1805
2224,2367
2472,2644
2679,2326
2549,2851
2666,2006
2184,2271
2158,1040
2088,692
2662,2043
2574,2496
2643,253
2496,113
2886,464
2491,849
2062,1042
2616,2974
2885,782
2479,2912
2276,698
2626,264
2390,1982
2394,1451
2126,133
2721,37
2878,1142
2980,1093
2916,950
2115,2898
2897,2261
2143,139
2814,108
2393,1927
2426,404
2080,2134
2839,1544
2164,2719
2115,597
2642,702
2237,1605
2757,1710
2011,2051
2514,605
2659,99
2251,2455
2530,2252
2069,659
2767,279
2798,2959
2326,2550
2904,2472
2170,2008
2208,634
2418,2190
2635,1364
2113,1366
2156,301
2921,2177
2651,2195
2650,1644
2344,1932
2895,546
2689,2315
2718,32
2298,2227
2226,437
2818,2839
2079,2404
2894,1120
2379,2243
2287,1379
2280,1570
2487,308
2727,337
2149,244
2062,379
2488,1587
2873,132
2810,663
2109,836
2637,2107
2158,2549
2098,2211
2463,2460
2849,881
2190,1097
2428,1786
2756,421
2690,1462
2090,2819
2333,373
2803,2823
2357,2494
2925,1786
2047,271
2407,2254
2090,2440
2486,2964
2028,1117
2729,1575
2111,1346
2748,2185
2072,1381
2770,2792
2405,2700
2258,1599
2462,1052
2159,931
2676,1955
2492,2728
2863,348
2767,1569
2749,777
2639,1804
2093,921
2286,678
2007,2526
2827,2612
2643,753
2599,827
2161,441
2691,445
2302,2940
2544,576
2925,2200
2603,2865
2464,1172
2682,2492
2182,839
2276,1025
2097,2816
2586,2320
2113,106
2488,55
2329,617
2457,742
2965,792
2928,2725
2029,1112
2404,2457
2695,726
2619,1250
2573,1136
2204,1680
2135,1896
2912,410
2638,1535
2737,2568
2388,1560
2056,3000
2449,1803
2111,2201
2097,428
2109,753
2889,342
2180,501
2046,2506
2492,1298
2672,2077
2854,1872
2097,189
2636,769
2882,2039
2955,2660
2944,2875
2803,1026
2656,1112
2439,2065
2747,451
2728,50
2650,2857
2089,1830
2410,2920
2586,1741
2159,2628
2755,929
2592,1843
2879,462
2842,1315
2973,901
2091,1626
2209,2412
2391,1473
2852,2673
2841,1123
2401,2316
2339,2571
2288,534
2741,1204
2409,57
2589,954
2131,2863
2872,2070
2295,1093
2456,160
2614,567
2323,1753
2799,2251
2448,2735
2494,1972
2474,1427
2566,2149
2522,2197
2331,694
2921,1371
2197,2321
2987,406
2300,1528
2544,2108
2416,785
2261,2417
2670,947
2843,2204
2523,2654
2015,1033
